item,1CM-F,2CM-F,3CM-F,4CM-F,5CM-F,6CM-M,7CM-F,8CM-F,9CM-M,10CM-F,11CM-M,12CM-F,13CM-F,14CM-F,15CM-M,16CM-M,17CM-F,18CM-F,19CM-F,20CM-F,21CM-F,22CM-M,23CM-F,24CM-M,25CM-F,26CM-F,27CM-F,28CM-M,29CM-M,30CM-M,31CM-M,32CM-M,33CM-F,34CM-F,35CM-M,36CM-M,37CM-M,38CM-F,39CM-M,1CMP-M,2CMP-F,3CMP-F,4CMP-F,5CMP-M,6CMP-M,7CMP-M,8CMP-F,9CMP-F,10CMP-F,11CMP-F,12CMP-M,1Sp-M,2Sp-M,3Sp-M,4Sp-M,5Sp-M,6Sp-M,7Sp-F,8Sp-F,9Sp-M,10Sp-F,11Sp-F,12Sp-M,13Sp-M,14Sp-F,15Sp-F,16Sp-M,17Sp-M,18Sp-M,1J-M,2J-M,1Se-M,2Se-F,3Se-F,4Se-M,5Se-M,6Se-M,7Se-F,8Se-F,9Se-M
P1,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,b,a,b,a,b,b,b,a,,a,a,b,a,a,a,b,b,b,a,a,b,a,b,b,a,a,b,b,b,b,b,b,b,b,a,b,b,b,b,a,b,b,b,b
P2,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,b,a,a,a
P3,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,b,b,b,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,b,a,a,a,b,a,b,a,a,a,a,a,b
P4,a,a,a,a,a,a,b,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,b,b,b,a,a,a,a,b,b,a,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,a,a,a,a,b,b,b,a,b,a,b,b,a,a,b,b,b,a,a,a,a,b,a,a,a,a,b,b,b,a,b,a
P5,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a
P6,e,c,c,b,c,c,e,c,,e,c,d,c,e,b,c,e,a,b,c,d,c,e,b,e,e,c,f,e,b,e,d,c,c,d,c,c,c,e,e,e,d,d,e,f,d,d,e,b,c,d,d,e,c,c,d,c,e,a,d,c,d,d,c,d,d,d,,c,d,d,d,e,d,d,d,c,c,e,c
P7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
P8,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a
P9,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,b,b,a,b,b,b,b,b,b,a,b,a
P10,a,a,b,b,a,a,,a,b,b,b,b,a,b,a,b,b,b,a,a,a,b,b,b,b,b,b,b,a,,b,a,b,b,b,b,b,b,b,b,b,b,a,a,a,b,b,b,b,a,b,b,b,b,b,b,b,a,b,b,b,b,b,a,a,a,a,b,a,a,a,a,b,b,a,b,b,a,b,a
P11,b,a,a,a,b,,a,a,b,b,b,a,b,b,a,b,a,b,a,b,b,a,b,a,b,b,b,b,b,a,a,a,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,,b,b,b,b,b,b,b,b,b,b,b,b,b
P12,a,a,a,b,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a
MP1,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,b,a,c,a,a,a,a,b,a,c,a,a,a,a,a,a,a,b,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
MP2,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
MP3,b,a,b,b,b,a,b,a,b,b,b,c,b,b,b,b,a,b,b,b,c,b,b,b,b,b,b,a,b,c,b,b,b,b,b,b,b,b,,b,b,b,b,b,c,b,b,b,b,b,b,a,b,b,b,a,b,a,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b
MP4,b,b,b,b,b,a,b,b,b,a,b,b,c,b,b,a,b,d,b,b,a,a,c,b,b,a,a,b,a,b,c,b,a,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
MP5,c,c,c,c,c,,c,c,c,a,c,c,b,c,c,a,c,b,c,c,c,a,b,c,c,a,a,c,c,,b,c,a,c,a,a,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,a,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
MP6,a,,d,a,a,a,a,c,a,a,a,d,a,a,a,b,a,a,a,c,c,b,b,c,a,a,a,c,a,b,b,a,b,a,b,a,a,a,a,d,a,a,a,a,d,a,a,a,a,a,a,a,d,a,a,a,a,d,c,a,c,b,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a
MP7,b,b,d,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,c,a,b,a,a,b,b,b,b,c,b,d,b,b,a,b,a,b,b,b,b,b,b,c,b,b,d,b,b,b,b,b,a,b,d,b,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
MP8,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
MP9,c,a,c,c,c,,c,a,c,c,a,a,a,a,a,a,c,a,a,a,a,b,c,d,a,a,c,a,a,c,a,a,c,c,c,a,a,c,c,e,a,c,c,,c,a,a,a,a,a,a,a,a,a,a,c,a,a,c,a,a,a,a,a,a,c,,a,a,a,c,a,a,c,a,a,c,a,a,a
MP10,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
LP1,b,b,a,b,b,c,b,b,b,a,b,b,c,b,a,a,b,b,c,b,a,a,b,c,b,b,b,b,b,c,a,a,c,b,a,b,a,c,b,b,a,b,a,b,b,b,b,b,b,b,b,b,b,a,a,a,,b,a,b,b,b,b,b,b,b,a,b,b,a,b,b,b,b,a,b,a,a,b,b
LP2,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,a,b,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a
